Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-January-2023,904.95,917.00,902.20,914.90,910.543538733878445587,11863,1223,10801778.00,2688,22.66,14.80,9.95
11-January-2023,908.05,913.70,894.25,900.25,902.703042907180385288,9136,989,8247095.00,2085,22.82,19.45,-7.80
10-January-2023,911.85,914.00,899.80,910.95,907.180772440100131124,16778,1475,15220679.00,7417,44.21,14.20,-0.90
9-January-2023,915.05,924.40,898.70,908.15,911.026919547262159681,19614,1706,17868882.00,8611,43.90,25.70,-6.90
6-January-2023,918.15,930.95,914.00,917.15,922.050804782065389708,53617,4301,49437598.00,24404,45.52,16.95,-1.00
5-January-2023,887.05,920.10,887.05,917.35,909.247172304893328527,58263,4162,52975468.00,11584,19.88,33.05,30.30
4-January-2023,894.75,902.00,885.10,888.55,895.608793361760977296,17354,1546,15542395.00,7144,41.17,16.90,-6.20
3-January-2023,890.10,904.55,888.05,892.80,895.918464730290456431,14460,1028,12954981.00,3089,21.36,16.50,2.70
2-January-2023,872.15,895.15,872.15,893.45,886.597937433173524643,28993,1779,25705134.00,12417,42.83,23.00,21.30
30-December-2022,886.10,892.00,871.00,874.10,880.289622908987808335,7054,772,6209563.00,2166,30.71,21.00,-12.00
29-December-2022,888.00,897.15,882.55,885.90,888.029967232648197795,16785,1430,14905583.00,4341,25.86,14.60,-2.10
28-December-2022,888.05,899.95,887.90,896.65,895.216005928121526491,8097,704,7248564.00,1619,20.00,12.05,8.60
27-December-2022,881.85,901.55,881.85,887.90,893.406466081106335264,16053,1212,14341854.00,3196,19.91,19.70,6.05
26-December-2022,861.05,890.00,860.90,881.85,878.412330129267484255,12068,1387,10600680.00,4922,40.79,29.10,20.80
23-December-2022,877.15,888.05,866.00,874.60,874.016757767548906789,13904,1129,12152329.00,3621,26.04,22.05,-2.55
22-December-2022,875.05,898.85,875.05,890.70,892.456187073725235466,15395,1349,13739363.00,4436,28.81,23.80,15.65
21-December-2022,892.05,900.00,871.80,884.30,883.647194825719219175,34169,2261,30193341.00,11146,32.62,28.20,-7.75
20-December-2022,901.25,904.55,889.25,894.85,894.055965262940243986,14509,1005,12971858.00,4084,28.15,15.30,-6.40
19-December-2022,897.30,911.85,897.30,905.85,907.215182351630394414,13463,1116,12213838.00,3830,28.45,14.55,8.55
16-December-2022,903.50,904.90,892.55,896.65,898.607730727470141150,23025,1596,20690443.00,10674,46.36,12.35,-6.85
15-December-2022,885.15,905.50,885.15,903.30,899.327860450319889717,56582,4448,50885769.00,29217,51.64,20.35,18.15
14-December-2022,877.05,889.00,875.00,887.35,883.852965555350893350,21716,1466,19193751.00,9909,45.63,14.00,10.30
13-December-2022,898.00,898.45,875.25,876.80,881.298628682097897729,32013,1467,28213013.00,14692,45.89,23.20,-21.20
12-December-2022,921.05,925.50,886.05,894.65,901.079887291099883404,51460,3430,46369571.00,9635,18.72,39.45,-26.40
9-December-2022,896.05,927.15,896.05,923.20,918.523267874429539482,28924,1895,26567367.00,13637,47.15,31.10,27.15
8-December-2022,898.15,905.30,896.35,900.90,900.669966278690307842,9193,1337,8279859.00,3787,41.19,8.95,2.75
7-December-2022,884.20,901.65,884.00,897.70,895.962326806366655215,17466,1251,15648878.00,4851,27.77,17.65,13.50
6-December-2022,875.05,889.45,875.05,885.45,883.817346987835953651,20799,1204,18382517.00,7281,35.01,14.40,10.40
5-December-2022,880.05,884.30,874.20,881.75,878.627544177203651374,76793,1728,67472445.00,19753,25.72,10.10,1.70
2-December-2022,873.05,883.20,865.40,881.40,875.036348769791124656,13453,1162,11771864.00,2929,21.77,17.80,8.35
